Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (FBS),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","664","Disponibilité alimentaire (Kcal/personne/jour)","S2941","Produits Animaux","2017","2017","Kcal/personne/jour","189","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","674","Disponibilité de protéines en quantité (g/personne/jour)","S2941","Produits Animaux","2017","2017","g/personne/jour","11.77","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","664","Disponibilité alimentaire (Kcal/personne/jour)","S2941","Produits Animaux","2017","2017","Kcal/personne/jour","440","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","S2941","Produits Animaux","2017","2017","g/personne/jour","37.96","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","664","Disponibilité alimentaire (Kcal/personne/jour)","S2941","Produits Animaux","2017","2017","Kcal/personne/jour","1052","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","674","Disponibilité de protéines en quantité (g/personne/jour)","S2941","Produits Animaux","2017","2017","g/personne/jour","64.8","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","012","Algérie","664","Disponibilité alimentaire (Kcal/personne/jour)","S2941","Produits Animaux","2017","2017","Kcal/personne/jour","427","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","012","Algérie","674","Disponibilité de protéines en quantité (g/personne/jour)","S2941","Produits Animaux","2017","2017","g/personne/jour","28.95","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","276","Allemagne","664","Disponibilité alimentaire (Kcal/personne/jour)","S2941","Produits Animaux","2017","2017","Kcal/personne/jour","1099","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","276","Allemagne","674","Disponibilité de protéines en quantité (g/personne/jour)","S2941","Produits Animaux","2017","2017","g/personne/jour","69.25","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","024","Angola","664","Disponibilité alimentaire (Kcal/personne/jour)","S2941","Produits Animaux","2017","2017","Kcal/personne/jour","196","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","024","Angola","674","Disponibilité de protéines en quantité (g/personne/jour)","S2941","Produits Animaux","2017","2017","g/personne/jour","17.69","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","028","Antigua-et-Barbuda","664","Disponibilité alimentaire (Kcal/personne/jour)","S2941","Produits Animaux","2017","2017","Kcal/personne/jour","780","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","028","Antigua-et-Barbuda","674","Disponibilité de protéines en quantité (g/personne/jour)","S2941","Produits Animaux","2017","2017","g/personne/jour","64.72","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","682","Arabie saoudite","664","Disponibilité alimentaire (Kcal/personne/jour)","S2941","Produits Animaux","2017","2017","Kcal/personne/jour","448","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","682","Arabie saoudite","674","Disponibilité de protéines en quantité (g/personne/jour)","S2941","Produits Animaux","2017","2017","g/personne/jour","37.04","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","032","Argentine","664","Disponibilité alimentaire (Kcal/personne/jour)","S2941","Produits Animaux","2017","2017","Kcal/personne/jour","965","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","032","Argentine","674","Disponibilité de protéines en quantité (g/personne/jour)","S2941","Produits Animaux","2017","2017","g/personne/jour","71.03","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","051","Arménie","664","Disponibilité alimentaire (Kcal/personne/jour)","S2941","Produits Animaux","2017","2017","Kcal/personne/jour","956","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","051","Arménie","674","Disponibilité de protéines en quantité (g/personne/jour)","S2941","Produits Animaux","2017","2017","g/personne/jour","54.45","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","036","Australie","664","Disponibilité alimentaire (Kcal/personne/jour)","S2941","Produits Animaux","2017","2017","Kcal/personne/jour","1113","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","036","Australie","674","Disponibilité de protéines en quantité (g/personne/jour)","S2941","Produits Animaux","2017","2017","g/personne/jour","81.92","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","040","Autriche","664","Disponibilité alimentaire (Kcal/personne/jour)","S2941","Produits Animaux","2017","2017","Kcal/personne/jour","1173","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","040","Autriche","674","Disponibilité de protéines en quantité (g/personne/jour)","S2941","Produits Animaux","2017","2017","g/personne/jour","65.65","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","031","Azerbaïdjan","664","Disponibilité alimentaire (Kcal/personne/jour)","S2941","Produits Animaux","2017","2017","Kcal/personne/jour","572","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","031","Azerbaïdjan","674","Disponibilité de protéines en quantité (g/personne/jour)","S2941","Produits Animaux","2017","2017","g/personne/jour","34.58","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","044","Bahamas","664","Disponibilité alimentaire (Kcal/personne/jour)","S2941","Produits Animaux","2017","2017","Kcal/personne/jour","724","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","044","Bahamas","674","Disponibilité de protéines en quantité (g/personne/jour)","S2941","Produits Animaux","2017","2017","g/personne/jour","57.55","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","050","Bangladesh","664","Disponibilité alimentaire (Kcal/personne/jour)","S2941","Produits Animaux","2017","2017","Kcal/personne/jour","132","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","050","Bangladesh","674","Disponibilité de protéines en quantité (g/personne/jour)","S2941","Produits Animaux","2017","2017","g/personne/jour","12.87","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","052","Barbade","664","Disponibilité alimentaire (Kcal/personne/jour)","S2941","Produits Animaux","2017","2017","Kcal/personne/jour","685","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","052","Barbade","674","Disponibilité de protéines en quantité (g/personne/jour)","S2941","Produits Animaux","2017","2017","g/personne/jour","58.23","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","112","Bélarus","664","Disponibilité alimentaire (Kcal/personne/jour)","S2941","Produits Animaux","2017","2017","Kcal/personne/jour","834","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","112","Bélarus","674","Disponibilité de protéines en quantité (g/personne/jour)","S2941","Produits Animaux","2017","2017","g/personne/jour","56.18","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","056","Belgique","664","Disponibilité alimentaire (Kcal/personne/jour)","S2941","Produits Animaux","2017","2017","Kcal/personne/jour","1249","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","056","Belgique","674","Disponibilité de protéines en quantité (g/personne/jour)","S2941","Produits Animaux","2017","2017","g/personne/jour","59.75","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","084","Belize","664","Disponibilité alimentaire (Kcal/personne/jour)","S2941","Produits Animaux","2017","2017","Kcal/personne/jour","483","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","084","Belize","674","Disponibilité de protéines en quantité (g/personne/jour)","S2941","Produits Animaux","2017","2017","g/personne/jour","29.61","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","204","Bénin","664","Disponibilité alimentaire (Kcal/personne/jour)","S2941","Produits Animaux","2017","2017","Kcal/personne/jour","138","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","204","Bénin","674","Disponibilité de protéines en quantité (g/personne/jour)","S2941","Produits Animaux","2017","2017","g/personne/jour","14.07","E","Valeur estimée"
