Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"FDI","L’investissement Direct étranger (IDE)","004","Afghanistan","6110","Valeur US $","23082","IED - entrées totales","2017","2017","Millions d’USD","51.533897","X","Ciffre de sources internationales","UNCTAD"
"FDI","L’investissement Direct étranger (IDE)","710","Afrique du Sud","6110","Valeur US $","23082","IED - entrées totales","2017","2017","Millions d’USD","2008.360978","X","Ciffre de sources internationales","UNCTAD"
"FDI","L’investissement Direct étranger (IDE)","008","Albanie","6110","Valeur US $","23082","IED - entrées totales","2017","2017","Millions d’USD","1016.561053","X","Ciffre de sources internationales","UNCTAD"
"FDI","L’investissement Direct étranger (IDE)","012","Algérie","6110","Valeur US $","23082","IED - entrées totales","2017","2017","Millions d’USD","1232.341924","X","Ciffre de sources internationales","UNCTAD"
"FDI","L’investissement Direct étranger (IDE)","276","Allemagne","6110","Valeur US $","23082","IED - entrées totales","2017","2017","Millions d’USD","33261.034105","X","Ciffre de sources internationales","UNCTAD"
"FDI","L’investissement Direct étranger (IDE)","024","Angola","6110","Valeur US $","23082","IED - entrées totales","2017","2017","Millions d’USD","-7397.3","X","Ciffre de sources internationales","UNCTAD"
"FDI","L’investissement Direct étranger (IDE)","660","Anguilla","6110","Valeur US $","23082","IED - entrées totales","2017","2017","Millions d’USD","97.167478","X","Ciffre de sources internationales","UNCTAD"
"FDI","L’investissement Direct étranger (IDE)","028","Antigua-et-Barbuda","6110","Valeur US $","23082","IED - entrées totales","2017","2017","Millions d’USD","151.271628","X","Ciffre de sources internationales","UNCTAD"
"FDI","L’investissement Direct étranger (IDE)","682","Arabie saoudite","6110","Valeur US $","23082","IED - entrées totales","2017","2017","Millions d’USD","1418.843614","X","Ciffre de sources internationales","UNCTAD"
"FDI","L’investissement Direct étranger (IDE)","032","Argentine","6110","Valeur US $","23082","IED - entrées totales","2017","2017","Millions d’USD","11516.861462","X","Ciffre de sources internationales","UNCTAD"
"FDI","L’investissement Direct étranger (IDE)","051","Arménie","6110","Valeur US $","23082","IED - entrées totales","2017","2017","Millions d’USD","-104.174834","X","Ciffre de sources internationales","UNCTAD"
"FDI","L’investissement Direct étranger (IDE)","533","Aruba","6110","Valeur US $","23082","IED - entrées totales","2017","2017","Millions d’USD","87.862279","X","Ciffre de sources internationales","UNCTAD"
"FDI","L’investissement Direct étranger (IDE)","036","Australie","6110","Valeur US $","23082","IED - entrées totales","2017","2017","Millions d’USD","46114.227904","X","Ciffre de sources internationales","UNCTAD"
"FDI","L’investissement Direct étranger (IDE)","040","Autriche","6110","Valeur US $","23082","IED - entrées totales","2017","2017","Millions d’USD","14953.513855","X","Ciffre de sources internationales","UNCTAD"
"FDI","L’investissement Direct étranger (IDE)","031","Azerbaïdjan","6110","Valeur US $","23082","IED - entrées totales","2017","2017","Millions d’USD","2867","X","Ciffre de sources internationales","UNCTAD"
"FDI","L’investissement Direct étranger (IDE)","044","Bahamas","6110","Valeur US $","23082","IED - entrées totales","2017","2017","Millions d’USD","901.448202","X","Ciffre de sources internationales","UNCTAD"
"FDI","L’investissement Direct étranger (IDE)","048","Bahreïn","6110","Valeur US $","23082","IED - entrées totales","2017","2017","Millions d’USD","1426.143617","X","Ciffre de sources internationales","UNCTAD"
"FDI","L’investissement Direct étranger (IDE)","050","Bangladesh","6110","Valeur US $","23082","IED - entrées totales","2017","2017","Millions d’USD","2151.64","X","Ciffre de sources internationales","UNCTAD"
"FDI","L’investissement Direct étranger (IDE)","052","Barbade","6110","Valeur US $","23082","IED - entrées totales","2017","2017","Millions d’USD","206.157363","X","Ciffre de sources internationales","UNCTAD"
"FDI","L’investissement Direct étranger (IDE)","112","Bélarus","6110","Valeur US $","23082","IED - entrées totales","2017","2017","Millions d’USD","1278.5","X","Ciffre de sources internationales","UNCTAD"
"FDI","L’investissement Direct étranger (IDE)","056","Belgique","6110","Valeur US $","23082","IED - entrées totales","2017","2017","Millions d’USD","-708.306504","X","Ciffre de sources internationales","UNCTAD"
"FDI","L’investissement Direct étranger (IDE)","084","Belize","6110","Valeur US $","23082","IED - entrées totales","2017","2017","Millions d’USD","24.494687","X","Ciffre de sources internationales","UNCTAD"
"FDI","L’investissement Direct étranger (IDE)","204","Bénin","6110","Valeur US $","23082","IED - entrées totales","2017","2017","Millions d’USD","168.995366","X","Ciffre de sources internationales","UNCTAD"
"FDI","L’investissement Direct étranger (IDE)","060","Bermudes","6110","Valeur US $","23082","IED - entrées totales","2017","2017","Millions d’USD","-288.109271","X","Ciffre de sources internationales","UNCTAD"
"FDI","L’investissement Direct étranger (IDE)","064","Bhoutan","6110","Valeur US $","23082","IED - entrées totales","2017","2017","Millions d’USD","-6.589038","X","Ciffre de sources internationales","UNCTAD"
"FDI","L’investissement Direct étranger (IDE)","068","Bolivie (État plurinational de)","6110","Valeur US $","23082","IED - entrées totales","2017","2017","Millions d’USD","1209.2","X","Ciffre de sources internationales","UNCTAD"
"FDI","L’investissement Direct étranger (IDE)","070","Bosnie-Herzégovine","6110","Valeur US $","23082","IED - entrées totales","2017","2017","Millions d’USD","491.888017","X","Ciffre de sources internationales","UNCTAD"
"FDI","L’investissement Direct étranger (IDE)","072","Botswana","6110","Valeur US $","23082","IED - entrées totales","2017","2017","Millions d’USD","260.575045","X","Ciffre de sources internationales","UNCTAD"
"FDI","L’investissement Direct étranger (IDE)","076","Brésil","6110","Valeur US $","23082","IED - entrées totales","2017","2017","Millions d’USD","58836.25749","X","Ciffre de sources internationales","UNCTAD"
"FDI","L’investissement Direct étranger (IDE)","096","Brunéi Darussalam","6110","Valeur US $","23082","IED - entrées totales","2017","2017","Millions d’USD","460.084075","X","Ciffre de sources internationales","UNCTAD"
"FDI","L’investissement Direct étranger (IDE)","100","Bulgarie","6110","Valeur US $","23082","IED - entrées totales","2017","2017","Millions d’USD","1813.806893","X","Ciffre de sources internationales","UNCTAD"
"FDI","L’investissement Direct étranger (IDE)","854","Burkina Faso","6110","Valeur US $","23082","IED - entrées totales","2017","2017","Millions d’USD","2.57269","X","Ciffre de sources internationales","UNCTAD"
"FDI","L’investissement Direct étranger (IDE)","108","Burundi","6110","Valeur US $","23082","IED - entrées totales","2017","2017","Millions d’USD","0.316483","X","Ciffre de sources internationales","UNCTAD"
"FDI","L’investissement Direct étranger (IDE)","132","Cabo Verde","6110","Valeur US $","23082","IED - entrées totales","2017","2017","Millions d’USD","99.344146","X","Ciffre de sources internationales","UNCTAD"
"FDI","L’investissement Direct étranger (IDE)","116","Cambodge","6110","Valeur US $","23082","IED - entrées totales","2017","2017","Millions d’USD","2788.084322","X","Ciffre de sources internationales","UNCTAD"
"FDI","L’investissement Direct étranger (IDE)","120","Cameroun","6110","Valeur US $","23082","IED - entrées totales","2017","2017","Millions d’USD","814.002","X","Ciffre de sources internationales","UNCTAD"
"FDI","L’investissement Direct étranger (IDE)","124","Canada","6110","Valeur US $","23082","IED - entrées totales","2017","2017","Millions d’USD","22766.845925","X","Ciffre de sources internationales","UNCTAD"
"FDI","L’investissement Direct étranger (IDE)","152","Chili","6110","Valeur US $","23082","IED - entrées totales","2017","2017","Millions d’USD","6694.60404","X","Ciffre de sources internationales","UNCTAD"
"FDI","L’investissement Direct étranger (IDE)","344","Chine - RAS de Hong-Kong","6110","Valeur US $","23082","IED - entrées totales","2017","2017","Millions d’USD","110685.529144","X","Ciffre de sources internationales","UNCTAD"
"FDI","L’investissement Direct étranger (IDE)","446","Chine - RAS de Macao","6110","Valeur US $","23082","IED - entrées totales","2017","2017","Millions d’USD","1509.294044","X","Ciffre de sources internationales","UNCTAD"
"FDI","L’investissement Direct étranger (IDE)","156","Chine, continentale","6110","Valeur US $","23082","IED - entrées totales","2017","2017","Millions d’USD","136340","X","Ciffre de sources internationales","UNCTAD"
"FDI","L’investissement Direct étranger (IDE)","158","Chine, Taiwan Province de","6110","Valeur US $","23082","IED - entrées totales","2017","2017","Millions d’USD","7513.192","X","Ciffre de sources internationales","UNCTAD"
"FDI","L’investissement Direct étranger (IDE)","196","Chypre","6110","Valeur US $","23082","IED - entrées totales","2017","2017","Millions d’USD","9437.308661","X","Ciffre de sources internationales","UNCTAD"
"FDI","L’investissement Direct étranger (IDE)","170","Colombie","6110","Valeur US $","23082","IED - entrées totales","2017","2017","Millions d’USD","13836.696227","X","Ciffre de sources internationales","UNCTAD"
"FDI","L’investissement Direct étranger (IDE)","174","Comores","6110","Valeur US $","23082","IED - entrées totales","2017","2017","Millions d’USD","3.919473","X","Ciffre de sources internationales","UNCTAD"
"FDI","L’investissement Direct étranger (IDE)","178","Congo","6110","Valeur US $","23082","IED - entrées totales","2017","2017","Millions d’USD","4416.953734","X","Ciffre de sources internationales","UNCTAD"
"FDI","L’investissement Direct étranger (IDE)","188","Costa Rica","6110","Valeur US $","23082","IED - entrées totales","2017","2017","Millions d’USD","2778.314023","X","Ciffre de sources internationales","UNCTAD"
"FDI","L’investissement Direct étranger (IDE)","384","Côte d'Ivoire","6110","Valeur US $","23082","IED - entrées totales","2017","2017","Millions d’USD","975.014929","X","Ciffre de sources internationales","UNCTAD"
"FDI","L’investissement Direct étranger (IDE)","191","Croatie","6110","Valeur US $","23082","IED - entrées totales","2017","2017","Millions d’USD","991.361166","X","Ciffre de sources internationales","UNCTAD"
"FDI","L’investissement Direct étranger (IDE)","531","Curaçao","6110","Valeur US $","23082","IED - entrées totales","2017","2017","Millions d’USD","172.678986","X","Ciffre de sources internationales","UNCTAD"
"FDI","L’investissement Direct étranger (IDE)","208","Danemark","6110","Valeur US $","23082","IED - entrées totales","2017","2017","Millions d’USD","3748.661569","X","Ciffre de sources internationales","UNCTAD"
"FDI","L’investissement Direct étranger (IDE)","262","Djibouti","6110","Valeur US $","23082","IED - entrées totales","2017","2017","Millions d’USD","165.001125","X","Ciffre de sources internationales","UNCTAD"
"FDI","L’investissement Direct étranger (IDE)","212","Dominique","6110","Valeur US $","23082","IED - entrées totales","2017","2017","Millions d’USD","22.677208","X","Ciffre de sources internationales","UNCTAD"
