Zone,Disponibilité alimentaire en quantité (kg/personne/an),Disponibilité alimentaire (Kcal/personne/an),Disponibilité alimentaire animale (Kcal/personne/an),Ratio de proteine Animale en quantité (%),Evolution de la population 2015-2018,PIB par habitant(en usd),stabilite_pol
Afghanistan,357.31,728905.0,68985.0,21.76,8.01519678134254,530.149831,-2.8
Afrique du Sud,556.42,1090255.0,160600.0,45.54,4.3443019109738685,6723.928582,-0.28
Albanie,1260.49,1241000.0,383980.0,54.23,-0.2689142031189619,4521.752217,0.38
Algérie,798.7099999999999,1220925.0,155855.0,31.18,6.293751073706785,4134.936055,-0.92
Allemagne,943.24,1299035.0,401135.0,66.54,1.6347344703208664,44670.222282,0.59
Angola,570.9499999999999,827090.0,71540.0,32.7,10.491199356370865,4042.681403,-0.38
Antigua-et-Barbuda,632.98,886585.0,284700.0,79.75,2.907038881645042,16110.556281,0.75
Arabie saoudite,546.35,1165810.0,163520.0,42.33,6.258622363366133,20138.146333,-0.64
Argentine,776.64,1182235.0,352225.0,69.19,2.984844069758955,14609.78337,0.17
Arménie,1006.41,1121280.0,348940.0,55.94,0.8952837292641768,4041.995072,-0.62
Australie,906.77,1207055.0,406245.0,75.84,4.034889457023758,57430.803788,0.9
Autriche,931.63,1348310.0,428145.0,60.73,2.4511618153032844,47429.535841,1.05
Azerbaïdjan,792.0699999999999,1132230.0,208780.0,37.46,3.3960372014430393,4057.624007,-0.75
Bahamas,565.5,745695.0,264260.0,93.78,3.0547345579707432,30969.876197,0.99
Bangladesh,481.90000000000003,947540.0,48180.0,21.37,3.276944856922099,1785.962903,-1.26
Barbade,610.41,1057040.0,250025.0,65.62,0.46158051898893887,17843.196496,0.97
Belgique,1015.74,1376050.0,455885.0,58.95,1.720756843144099,44162.256256,0.43
Belize,588.82,983310.0,176295.0,44.12,6.133548331684828,6101.585949,0.04
Bolivie (État plurinational de),556.84,859210.0,189070.0,63.01,4.447322978583645,3280.01179,-0.28
Bosnie-Herzégovine,991.65,1192090.0,223745.0,40.92,-3.074508632949404,5255.95028,-0.35
Botswana,535.01,853370.0,128845.0,36.87,6.28806497428227,6705.339802,1.02
Brésil,770.49,1186250.0,304775.0,68.35,2.4441290963741795,9896.717511,-0.47
Bulgarie,727.4300000000001,1031855.0,255500.0,56.29,-2.057476789790077,8242.455771,0.33
Burkina Faso,498.78,992800.0,53290.0,14.66,9.0601074816638,711.184631,-0.93
Bélarus,972.22,1200485.0,304410.0,59.72,0.13977549263339506,5637.218565,-0.05
Bénin,717.3900000000001,1005210.0,50370.0,21.83,8.595840828324485,1095.274459,0.03
Cabo Verde,523.6800000000001,916880.0,160235.0,46.07,3.6253937641855156,3132.620588,0.77
Cambodge,503.78000000000003,900820.0,75555.0,32.21,4.692581279206383,1400.899268,0.09
Cameroun,683.77,967980.0,47815.0,18.66,8.231902766751732,1479.862223,-1.1
Canada,923.86,1274580.0,315725.0,62.88,2.9086391428396,45125.109808,1.1
Chili,676.16,1097555.0,264625.0,63.8,4.228349234388127,15081.989132,0.42
Chine - RAS de Hong-Kong,776.03,1223845.0,440920.0,76.52,2.584666064384116,45737.483211,0.83
Chine - RAS de Macao,726.13,1094635.0,352955.0,81.29,4.908110981007665,78985.632295,1.43
"Chine, Taiwan Province de",640.37,1086240.0,225935.0,59.16,0.7173221478683817,13969.200454690057,-0.06970238095238096
"Chine, continentale",968.52,1166905.0,223380.0,45.65,1.4784765605111234,8729.13693,-0.3166666666666666
Chypre,684.72,953380.0,243090.0,64.66,2.4358626511109103,18987.256286,0.54
Colombie,786.42,1128580.0,211700.0,59.84,4.504105550538674,6450.319585,-0.77
Congo,612.6099999999999,841325.0,86505.0,48.45,7.995395477230161,2088.500217,-0.53
Costa Rica,693.11,1099745.0,260245.0,57.92,3.1279523677112357,12118.133618,0.61
Croatie,1018.84,1123835.0,331420.0,66.69,-1.8065503485338912,13434.533984,0.69
Cuba,844.62,1244285.0,197465.0,45.87,0.11790956487370484,8543.360968,0.65
Côte d'Ivoire,645.6999999999999,994990.0,44530.0,24.26,7.935398486093882,2076.147823,-1.09
Danemark,962.04,1234795.0,454790.0,67.8,1.1150360495684863,57888.203513,0.87
Djibouti,431.32,977105.0,82125.0,23.0,4.915792571715539,2659.85416,-0.74
Dominique,988.87,1074925.0,258785.0,68.6,0.6209347737521599,7395.991648,1.2
El Salvador,579.31,970900.0,175565.0,42.56,1.5117806386088242,3986.049014,-0.26
Espagne,937.62,1193550.0,316820.0,67.36,0.044849231205928805,28190.806667,0.28
Estonie,1032.49,1182965.0,379600.0,61.81,0.5774238306122061,20435.205904,0.65
Eswatini,532.39,878190.0,104755.0,32.95,2.9199017430464727,3822.79341,-0.27
Fidji,730.7,1073465.0,169725.0,51.58,1.7102853123377468,5825.224293,0.62
Finlande,1098.24,1218005.0,451505.0,66.58,0.756305004705241,46412.760009,1.08
France,943.52,1297940.0,423765.0,68.53,0.833645187515903,40458.149878,0.28
Fédération de Russie,887.1,1227130.0,317915.0,59.78,0.5165918581526646,10822.77025,-0.64
Gabon,684.9499999999999,963600.0,157680.0,58.71,8.8098903005926,6975.769483,-0.1
Gambie,350.96999999999997,927830.0,82855.0,30.84,9.31193848101022,632.019869,-0.08
Ghana,850.78,1107410.0,50005.0,25.13,6.886720823808076,1998.626958,0.09
Grenade,525.11,877460.0,219000.0,71.35,1.6925336910008304,9309.267842,1.01
Grèce,947.29,1223845.0,291270.0,56.97,-1.289936443162363,18690.624484,-0.07
